EmpNo,Job,Date,HW
2586,131121,2011-06-08T00:00:00.000000000,22.61
2586,131121,2011-06-09T00:00:00.000000000,22.61
2586,131121,2011-06-10T00:00:00.000000000,22.61
2586,131121,2011-06-13T00:00:00.000000000,22.61
2586,131121,2011-06-14T00:00:00.000000000,22.61
2586,131121,2011-06-15T00:00:00.000000000,22.61
2586,131121,2011-06-16T00:00:00.000000000,22.61
2586,131121,2011-06-17T00:00:00.000000000,22.61
2586,131121,2011-06-20T00:00:00.000000000,22.61
2586,131121,2011-06-21T00:00:00.000000000,22.61
2586,131121,2011-06-22T00:00:00.000000000,22.61
2586,131121,2011-06-23T00:00:00.000000000,22.61
2586,131121,2011-06-24T00:00:00.000000000,22.61
2586,131121,2011-06-27T00:00:00.000000000,22.62
2586,131121,2011-06-28T00:00:00.000000000,22.61
2586,131121,2011-06-29T00:00:00.000000000,22.61
2586,131121,2011-06-30T00:00:00.000000000,22.61
2586,131121,2011-07-01T00:00:00.000000000,22.61
2586,131121,2011-07-05T00:00:00.000000000,22.61
2586,131121,2011-07-06T00:00:00.000000000,22.62
2586,131121,2011-07-07T00:00:00.000000000,22.61
2586,131121,2011-07-08T00:00:00.000000000,22.61
2586,131121,2011-07-11T00:00:00.000000000,22.61
2586,131121,2011-07-12T00:00:00.000000000,22.61
2586,131121,2011-07-13T00:00:00.000000000,22.61
2586,131121,2011-07-14T00:00:00.000000000,22.61
2586,131121,2011-07-15T00:00:00.000000000,22.61
2586,131121,2011-07-18T00:00:00.000000000,22.61
2586,131121,2011-07-19T00:00:00.000000000,22.61
2586,131121,2011-07-20T00:00:00.000000000,22.61
2586,131121,2011-07-21T00:00:00.000000000,22.61
2586,131121,2011-07-22T00:00:00.000000000,22.61
2586,131121,2011-07-25T00:00:00.000000000,22.61
2586,131121,2011-07-26T00:00:00.000000000,22.61
2586,131121,2011-07-27T00:00:00.000000000,22.61
2586,131121,2011-07-28T00:00:00.000000000,22.61
2586,131121,2011-07-29T00:00:00.000000000,22.61
2586,131121,2011-08-01T00:00:00.000000000,22.61
2586,131121,2011-08-02T00:00:00.000000000,22.61
2586,131121,2011-08-03T00:00:00.000000000,22.61
2586,131121,2011-08-04T00:00:00.000000000,22.61
2586,131121,2011-08-05T00:00:00.000000000,22.61
2586,131121,2011-08-08T00:00:00.000000000,22.61
2586,131121,2011-08-09T00:00:00.000000000,22.61
2586,131121,2011-08-10T00:00:00.000000000,22.61
2586,131121,2011-08-11T00:00:00.000000000,22.61
2586,131121,2011-08-12T00:00:00.000000000,22.61
2586,131121,2011-08-15T00:00:00.000000000,22.61
2586,131121,2011-08-16T00:00:00.000000000,22.61
2586,131121,2011-08-17T00:00:00.000000000,22.61
2586,131121,2011-08-18T00:00:00.000000000,22.61
2586,131121,2011-08-19T00:00:00.000000000,22.61
2586,131121,2011-08-22T00:00:00.000000000,22.61
2586,131121,2011-08-23T00:00:00.000000000,22.61
2586,131121,2011-08-24T00:00:00.000000000,22.62
2586,131121,2011-08-25T00:00:00.000000000,22.61
2586,131121,2011-08-26T00:00:00.000000000,22.61
2586,131121,2011-08-29T00:00:00.000000000,22.61
2586,131121,2011-08-30T00:00:00.000000000,22.61
2586,131121,2011-08-31T00:00:00.000000000,22.61
2586,131121,2011-09-01T00:00:00.000000000,22.61
2586,131121,2011-09-02T00:00:00.000000000,22.61
2586,131121,2011-09-06T00:00:00.000000000,22.61
2586,131121,2011-09-07T00:00:00.000000000,22.61
2586,131121,2011-09-08T00:00:00.000000000,22.61
2586,131121,2011-09-09T00:00:00.000000000,22.61
2586,131121,2011-09-12T00:00:00.000000000,22.62
2586,131121,2011-09-13T00:00:00.000000000,22.61
2586,131121,2011-09-14T00:00:00.000000000,22.61
2586,131121,2011-09-15T00:00:00.000000000,22.61
2586,131121,2011-09-16T00:00:00.000000000,22.61
2586,131121,2011-09-19T00:00:00.000000000,22.61
2586,131121,2011-09-20T00:00:00.000000000,22.61
2586,131121,2011-09-21T00:00:00.000000000,22.61
2586,131121,2011-09-22T00:00:00.000000000,22.61
2586,131121,2011-09-23T00:00:00.000000000,22.61
2586,131121,2011-09-26T00:00:00.000000000,22.62
2586,131121,2011-09-27T00:00:00.000000000,22.61
2586,131121,2011-09-28T00:00:00.000000000,22.61
2586,131121,2011-09-29T00:00:00.000000000,22.61
2586,131121,2011-10-03T00:00:00.000000000,22.61
2586,131121,2011-10-04T00:00:00.000000000,22.61
2586,131121,2011-10-05T00:00:00.000000000,22.61
2586,131121,2011-10-06T00:00:00.000000000,22.61
2586,131121,2011-10-11T00:00:00.000000000,22.61
2586,131121,2011-10-12T00:00:00.000000000,22.61
2586,131121,2011-10-13T00:00:00.000000000,22.61
2586,131121,2011-10-14T00:00:00.000000000,22.61
2589,132111,2011-01-01T00:00:00.000000000,6.46
2589,132111,2011-01-08T00:00:00.000000000,6.46
2589,132111,2011-01-09T00:00:00.000000000,6.46
2589,132111,2011-01-15T00:00:00.000000000,6.46
2589,132111,2011-01-17T00:00:00.000000000,6.46
2589,132111,2011-01-22T00:00:00.000000000,6.46
2589,132111,2011-01-29T00:00:00.000000000,6.46
2589,132111,2011-02-05T00:00:00.000000000,6.46
2589,132111,2011-02-12T00:00:00.000000000,6.46
2589,132111,2011-02-19T00:00:00.000000000,6.46
2589,132111,2011-02-26T00:00:00.000000000,6.46
2589,132111,2011-03-05T00:00:00.000000000,6.46
2589,132111,2011-03-06T00:00:00.000000000,6.46
2589,132111,2011-03-12T00:00:00.000000000,6.46
2589,132111,2011-03-19T00:00:00.000000000,6.46
2589,132111,2011-03-26T00:00:00.000000000,6.46
2589,132111,2011-04-02T00:00:00.000000000,6.46
2589,132111,2011-04-03T00:00:00.000000000,6.46
2589,132111,2011-04-09T00:00:00.000000000,6.46
2589,132111,2011-04-16T00:00:00.000000000,6.46
2589,132111,2011-04-23T00:00:00.000000000,6.46
2589,132111,2011-04-30T00:00:00.000000000,6.46
2589,132111,2011-05-07T00:00:00.000000000,6.46
2589,132111,2011-05-14T00:00:00.000000000,6.46
2589,132111,2011-05-15T00:00:00.000000000,6.46
2589,132111,2011-05-21T00:00:00.000000000,6.46
2589,132111,2011-05-28T00:00:00.000000000,6.46
2589,132111,2011-06-04T00:00:00.000000000,6.46
2589,132111,2011-06-05T00:00:00.000000000,6.46
2589,132111,2011-06-11T00:00:00.000000000,6.46
2589,132111,2011-06-18T00:00:00.000000000,6.46
